Año,Semestre,País de Destino,Modalidad,Tipo de actividad
2018,1,Antártida,Docente,Pasantía
2018,1,Francia,Docente,Asistencia/Participación Evento
2018,1,Francia,Estudiante de Pregrado,Programa Semestre en el Exterior
2018,1,Cuba,Estudiante de Pregrado,Asistencia/Participación Evento
2018,1,Cuba,Estudiante de Pregrado,Asistencia/Participación Evento
2018,1,Estados Unidos,Estudiante de Pregrado,Pasantía
2018,1,Estados Unidos,Estudiante de Pregrado,Pasantía
2018,1,México,Estudiante de Posgrado,Pasantía
2018,1,España,Estudiante de Posgrado,Pasantía
2018,1,España,Estudiante de Posgrado,Pasantía
2018,1,España,Estudiante de Posgrado,Pasantía
2018,1,España,Estudiante de Posgrado,Pasantía
2018,1,España,Estudiante de Posgrado,Pasantía
2018,1,Estados Unidos,Administrativo,Asistencia/Participación Evento
2018,1,Estados Unidos,Estudiante de Pregrado,Asistencia/Participación Evento
2018,1,Estados Unidos,Estudiante de Pregrado,Asistencia/Participación Evento
2018,1,Estados Unidos,Estudiante de Pregrado,Asistencia/Participación Evento
2018,1,Estados Unidos,Estudiante de Pregrado,Asistencia/Participación Evento
2018,1,Estados Unidos,Estudiante de Pregrado,Asistencia/Participación Evento
2018,1,Estados Unidos,Estudiante de Pregrado,Asistencia/Participación Evento
2018,1,Estados Unidos,Estudiante de Pregrado,Asistencia/Participación Evento
2018,1,Estados Unidos,Estudiante de Pregrado,Asistencia/Participación Evento
2018,1,Estados Unidos,Estudiante de Pregrado,Asistencia/Participación Evento
2018,1,Estados Unidos,Estudiante de Pregrado,Asistencia/Participación Evento
2018,1,Estados Unidos,Estudiante de Pregrado,Asistencia/Participación Evento
2018,1,Estados Unidos,Estudiante de Pregrado,Asistencia/Participación Evento
2018,1,Estados Unidos,Estudiante de Pregrado,Asistencia/Participación Evento
2018,1,Estados Unidos,Estudiante de Pregrado,Asistencia/Participación Evento
2018,1,Estados Unidos,Administrativo,Asistencia/Participación Evento
2018,1,España,Estudiante de Pregrado,Pasantía
2018,1,Brasil,Docente,Estudios de Doctorado
2018,1,Cuba,Docente,Pasantía
2018,1,Aruba,Docente,Pasantía
2018,1,España,Docente,Estudios de Doctorado
2018,1,Venezuela,Docente,Asistencia/Participación Evento
2018,1,Venezuela,Docente,Asistencia/Participación Evento
2018,1,Venezuela,Docente,Asistencia/Participación Evento
2018,1,Venezuela,Docente,Asistencia/Participación Evento
2018,1,Venezuela,Docente,Asistencia/Participación Evento
2018,1,Venezuela,Docente,Asistencia/Participación Evento
2018,1,Venezuela,Docente,Asistencia/Participación Evento
2018,1,Reino Unido,Administrativo,Asistencia/Participación Evento
